seed,algorithm,mean_inference_time,total_steps,successful,path,stop_reason,path_vin,path_replan
17251,VIN,0.008458614349365234,10,True,,Goal Reached,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 5), (3, 5), (3, 4)]",
17251,VIN_REPLAN,0.00788710117340088,10,True,,Goal Reached,,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 5), (3, 5), (3, 4)]"
7105,VI,0.023926143646240235,76,True,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 9), (3, 10), (3, 11), (4, 11), (4, 12), (5, 12), (6, 12), (6, 11), (6, 10), (6, 9), (5, 9), (4, 9), (4, 10), (4, 11), (4, 12), (4, 13), (5, 13), (5, 14), (5, 15), (6, 15), (7, 15), (7, 16), (8, 16), (9, 16), (10, 16), (11, 16), (11, 17), (12, 17), (12, 18), (11, 18), (10, 18), (9, 18), (8, 18), (8, 19), (7, 19), (6, 19), (5, 19), (5, 18), (5, 17), (6, 17), (6, 16), (6, 15), (6, 14), (7, 14), (8, 14), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (12, 16), (13, 16), (13, 15), (13, 14), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (7, 14), (6, 14), (5, 14), (4, 14), (3, 14)]",Goal Reached,,
7105,VIN,0.008159948198982839,90,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (4, 10), (4, 11), (4, 12), (5, 12), (6, 12), (6, 11), (6, 10), (6, 9), (5, 9), (4, 9), (3, 9), (3, 10), (3, 11), (3, 12), (3, 13), (4, 13), (5, 13), (5, 14), (5, 15), (6, 15), (7, 15), (7, 16), (8, 16), (9, 16), (9, 17), (9, 18), (10, 18), (11, 18), (11, 17), (12, 17), (12, 16), (11, 16), (10, 16), (10, 15), (9, 15), (9, 16), (9, 17), (9, 18), (8, 18), (8, 19), (7, 19), (6, 19), (5, 19), (5, 18), (5, 17), (6, 17), (6, 16), (7, 16), (7, 15), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14), (13, 15), (13, 16), (13, 17), (13, 18), (12, 18), (12, 19), (11, 19), (10, 19), (9, 19), (8, 19), (8, 18), (7, 18), (6, 18), (5, 18), (4, 18), (4, 17), (4, 16), (3, 16), (3, 15), (3, 14)]",
7105,VIN_REPLAN,0.007640480995178223,90,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (4, 10), (4, 11), (4, 12), (5, 12), (6, 12), (6, 11), (6, 10), (6, 9), (5, 9), (4, 9), (3, 9), (3, 10), (3, 11), (3, 12), (3, 13), (4, 13), (5, 13), (5, 14), (5, 15), (6, 15), (7, 15), (7, 16), (8, 16), (9, 16), (9, 17), (9, 18), (10, 18), (11, 18), (11, 17), (12, 17), (12, 16), (11, 16), (10, 16), (10, 15), (9, 15), (9, 16), (9, 17), (9, 18), (8, 18), (8, 19), (7, 19), (6, 19), (5, 19), (5, 18), (5, 17), (6, 17), (6, 16), (7, 16), (7, 15), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14), (13, 15), (13, 16), (13, 17), (13, 18), (12, 18), (12, 19), (11, 19), (10, 19), (9, 19), (8, 19), (8, 18), (7, 18), (6, 18), (5, 18), (4, 18), (4, 17), (4, 16), (3, 16), (3, 15), (3, 14)]"
15917,VI,0.02216936581170381,68,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (9, 1), (9, 2), (9, 3), (10, 3), (10, 2), (10, 1), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (10, 5), (10, 6), (9, 6), (9, 7), (10, 7), (11, 7), (12, 7), (12, 8), (13, 8), (14, 8), (14, 7), (14, 6), (14, 5), (15, 5), (16, 5), (16, 4), (16, 3), (16, 2), (16, 1), (15, 1), (14, 1), (13, 1), (13, 2), (13, 3), (13, 4), (12, 4), (12, 5), (12, 6), (12, 7), (12, 8), (12, 9), (12, 10), (13, 10), (13, 11), (13, 12), (13, 13), (13, 14), (12, 14), (12, 13), (11, 13), (10, 13), (10, 14), (9, 14), (9, 15), (9, 16), (9, 17), (8, 17)]",Goal Reached,,
15917,VIN,0.007778294543002514,48,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (9, 1), (9, 2), (9, 3), (10, 3), (10, 2), (10, 1), (11, 1), (11, 2), (11, 3), (11, 4), (12, 4), (12, 5), (13, 5), (14, 5), (14, 6), (14, 7), (14, 8), (13, 8), (12, 8), (11, 8), (11, 7), (10, 7), (10, 6), (9, 6), (9, 7), (9, 8), (9, 9), (9, 10), (9, 11), (9, 12), (10, 12), (10, 13), (10, 14), (10, 15), (10, 16), (10, 17), (9, 17), (8, 17)]",
15917,VIN_REPLAN,0.007900809248288473,48,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (9, 1), (9, 2), (9, 3), (10, 3), (10, 2), (10, 1), (11, 1), (11, 2), (11, 3), (11, 4), (12, 4), (12, 5), (13, 5), (14, 5), (14, 6), (14, 7), (14, 8), (13, 8), (12, 8), (11, 8), (11, 7), (10, 7), (10, 6), (9, 6), (9, 7), (9, 8), (9, 9), (9, 10), (9, 11), (9, 12), (10, 12), (10, 13), (10, 14), (10, 15), (10, 16), (10, 17), (9, 17), (8, 17)]"
6862,VI,0.023693689485875573,42,True,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (2, 12), (2, 11), (3, 11), (4, 11), (5, 11), (5, 10), (6, 10), (7, 10), (7, 9), (7, 8), (6, 8), (5, 8), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (12, 6), (12, 5), (13, 5), (13, 6), (14, 6), (14, 7)]",Goal Reached,,
6862,VIN,0.007892162149602717,56,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (4, 11), (5, 11), (5, 10), (6, 10), (6, 9), (6, 8), (5, 8), (5, 7), (6, 7), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (6, 11), (5, 11), (5, 12), (4, 12), (3, 12), (2, 12), (2, 11), (2, 10), (2, 9), (2, 8), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (12, 6), (12, 5), (13, 5), (13, 6), (14, 6), (14, 7)]",
6862,VIN_REPLAN,0.008060591561453683,56,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (4, 11), (5, 11), (5, 10), (6, 10), (6, 9), (6, 8), (5, 8), (5, 7), (6, 7), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (6, 11), (5, 11), (5, 12), (4, 12), (3, 12), (2, 12), (2, 11), (2, 10), (2, 9), (2, 8), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (12, 6), (12, 5), (13, 5), (13, 6), (14, 6), (14, 7)]"
10682,VI,0.025474283430311415,46,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (4, 4), (4, 5), (3, 5), (3, 6), (4, 6), (5, 6), (6, 6), (6, 5), (6, 4), (6, 3), (6, 2), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4), (12, 5), (12, 6), (12, 7), (12, 8), (12, 9), (12, 10), (12, 11), (13, 11), (13, 12), (13, 13), (13, 14), (14, 14), (14, 13), (15, 13), (16, 13), (16, 12), (16, 11)]",Goal Reached,,
10682,VIN,0.007660914440544284,50,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (4, 4), (4, 5), (3, 5), (3, 6), (4, 6), (5, 6), (6, 6), (6, 5), (6, 4), (6, 3), (6, 2), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4), (7, 3), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (11, 10), (11, 11), (12, 11), (13, 11), (13, 12), (13, 13), (14, 13), (14, 14), (15, 14), (16, 14), (16, 13), (16, 12), (16, 11)]",
