seed,algorithm,mean_inference_time,total_steps,successful,path,stop_reason,path_vin,path_puct
17157,VI,0.024423158687093983,47,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (5, 1), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (5, 8), (4, 8), (3, 8), (3, 9), (2, 9), (1, 9), (1, 8), (1, 7), (2, 7), (2, 8), (3, 8), (4, 8), (4, 9), (4, 10), (3, 10), (2, 10), (1, 10), (0, 10), (0, 9), (0, 8), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (6, 6), (7, 6), (8, 6), (8, 5), (7, 5)]",Goal Reached,,
17157,VIN,0.007790850268469917,37,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (5, 3), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (5, 8), (4, 8), (4, 9), (4, 10), (3, 10), (3, 9), (2, 9), (1, 9), (1, 8), (1, 7), (2, 7), (2, 8), (3, 8), (4, 8), (5, 8), (5, 7), (6, 7), (6, 6), (7, 6), (8, 6), (8, 5), (7, 5)]",
17157,PUCT,0.43282539976967704,37,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (5, 3), (6, 3), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (5, 8), (4, 8), (4, 9), (4, 10), (3, 10), (3, 9), (2, 9), (1, 9), (1, 8), (1, 7), (2, 7), (2, 8), (3, 8), (4, 8), (5, 8), (5, 7), (6, 7), (6, 6), (7, 6), (8, 6), (8, 5), (7, 5)]"
15035,VI,0.025428295135498047,48,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (12, 1), (12, 2), (12, 3), (12, 4), (12, 5), (12, 6), (12, 7), (12, 8), (12, 9), (12, 10), (12, 11), (12, 12), (12, 13), (12, 14), (13, 14), (14, 14), (14, 15), (14, 16), (15, 16), (16, 16), (17, 16), (18, 16), (19, 16), (19, 15), (19, 14), (19, 13), (19, 12), (19, 11), (19, 10), (19, 9), (19, 8), (19, 7), (19, 6), (18, 6), (18, 7)]",Goal Reached,,
15035,VIN,0.006800903993494371,52,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (14, 6), (14, 7), (14, 8), (14, 9), (14, 10), (14, 11), (14, 12), (14, 13), (14, 14), (14, 15), (13, 15), (13, 14), (14, 14), (15, 14), (15, 15), (15, 16), (16, 16), (17, 16), (18, 16), (19, 16), (19, 15), (19, 14), (19, 13), (19, 12), (19, 11), (19, 10), (19, 9), (19, 8), (19, 7), (19, 6), (18, 6), (18, 7)]",
15035,PUCT,0.4397006034851074,56,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (15, 14), (14, 14), (14, 15), (13, 15), (13, 14), (13, 13), (14, 13), (14, 14), (14, 15), (14, 16), (15, 16), (16, 16), (17, 16), (18, 16), (19, 16), (19, 15), (19, 14), (19, 13), (19, 12), (19, 11), (19, 10), (19, 9), (19, 8), (19, 7), (19, 6), (18, 6), (18, 7)]"
18791,VI,0.024521559476852417,17,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (4, 10), (4, 11), (5, 11)]",Goal Reached,,
18791,VIN,0.006506574564966662,59,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (8, 11), (7, 11), (6, 11), (6, 12), (7, 12), (7, 13), (7, 14), (8, 14), (8, 15), (8, 16), (7, 16), (6, 16), (6, 15), (6, 14), (5, 14), (4, 14), (4, 15), (3, 15), (3, 16), (3, 17), (3, 18), (4, 18), (5, 18), (6, 18), (7, 18), (7, 17), (8, 17), (8, 16), (8, 15), (9, 15), (9, 14), (9, 13), (9, 12), (9, 11), (9, 10), (8, 10), (7, 10), (6, 10), (5, 10), (5, 11)]",
18791,PUCT,0.4474223646624335,59,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (8, 10), (8, 11), (7, 11), (6, 11), (6, 12), (7, 12), (7, 13), (7, 14), (8, 14), (8, 15), (8, 16), (7, 16), (6, 16), (6, 15), (6, 14), (5, 14), (4, 14), (4, 15), (3, 15), (3, 16), (3, 17), (3, 18), (4, 18), (5, 18), (6, 18), (7, 18), (7, 17), (8, 17), (8, 16), (8, 15), (9, 15), (9, 14), (9, 13), (9, 12), (9, 11), (9, 10), (8, 10), (7, 10), (6, 10), (5, 10), (5, 11)]"
10295,VI,0.022021199527539705,39,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (15, 1), (15, 2), (15, 3), (16, 3), (16, 4), (17, 4), (18, 4), (18, 5), (17, 5), (16, 5), (16, 6), (16, 7), (16, 8), (15, 8), (14, 8), (14, 9), (14, 10), (15, 10), (16, 10), (17, 10), (18, 10), (18, 11), (19, 11)]",Goal Reached,,
10295,VIN,0.006903865758110495,69,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (15, 1), (15, 2), (15, 3), (16, 3), (16, 4), (17, 4), (18, 4), (18, 5), (19, 5), (19, 6), (18, 6), (18, 7), (18, 8), (18, 9), (18, 10), (17, 10), (16, 10), (15, 10), (14, 10), (14, 9), (14, 8), (15, 8), (16, 8), (16, 7), (16, 6), (16, 5), (17, 5), (17, 4), (17, 3), (17, 2), (18, 2), (19, 2), (19, 3), (19, 2), (19, 1), (18, 1), (17, 1), (16, 1), (16, 2), (16, 3), (16, 4), (15, 4), (16, 4), (16, 5), (16, 6), (16, 7), (16, 8), (16, 9), (17, 9), (18, 9), (18, 10), (18, 11), (19, 11)]",
10295,PUCT,0.447253241258509,69,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (15, 1), (15, 2), (15, 3), (16, 3), (16, 4), (17, 4), (18, 4), (18, 5), (19, 5), (19, 6), (18, 6), (18, 7), (18, 8), (18, 9), (18, 10), (17, 10), (16, 10), (15, 10), (14, 10), (14, 9), (14, 8), (15, 8), (16, 8), (16, 7), (16, 6), (16, 5), (17, 5), (17, 4), (17, 3), (17, 2), (18, 2), (19, 2), (19, 3), (19, 2), (19, 1), (18, 1), (17, 1), (16, 1), (16, 2), (16, 3), (16, 4), (15, 4), (16, 4), (16, 5), (16, 6), (16, 7), (16, 8), (16, 9), (17, 9), (18, 9), (18, 10), (18, 11), (19, 11)]"
9107,VI,0.013330399990081787,13,True,"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (3, 2), (4, 2), (5, 2), (5, 1), (6, 1), (6, 0), (5, 0), (4, 0)]",Goal Reached,,
9107,VIN,0.006762802600860596,5,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0)]",
9107,PUCT,0.5054115653038025,5,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0)]"
8179,VI,0.020614550959679387,63,True,"[(0, 0), (0, 1), (1, 1), (1, 2), (2, 2), (3, 2), (3, 3), (4, 3), (5, 3), (5, 4), (6, 4), (6, 5), (6, 6), (6, 7), (7, 7), (7, 8), (8, 8), (9, 8), (9, 9), (10, 9), (11, 9), (11, 8), (12, 8), (13, 8), (13, 9), (13, 10), (13, 11), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11), (8, 10), (7, 10), (6, 10), (5, 10), (4, 10), (3, 10), (3, 9), (3, 8), (3, 7), (4, 7), (5, 7), (5, 6), (5, 5), (6, 5), (7, 5), (7, 4), (8, 4), (8, 3), (9, 3), (10, 3), (11, 3), (11, 4), (12, 4), (12, 5), (13, 5), (13, 6), (13, 7), (14, 7), (15, 7), (16, 7), (16, 6)]",Goal Reached,,
8179,VIN,0.006786134313134586,137,True,,Goal Reached,"[(0, 0), (0, 1), (1, 1), (1, 2), (2, 2), (3, 2), (3, 3), (4, 3), (5, 3), (5, 4), (6, 4), (7, 4), (8, 4), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (12, 4), (13, 4), (13, 5), (13, 6), (13, 7), (13, 8), (13, 9), (13, 10), (12, 10), (12, 9), (12, 8), (11, 8), (10, 8), (9, 8), (8, 8), (7, 8), (7, 7), (6, 7), (6, 6), (6, 5), (5, 5), (5, 6), (5, 7), (4, 7), (4, 8), (4, 9), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (8, 11), (9, 11), (9, 10), (9, 9), (10, 9), (11, 9), (11, 10), (11, 11), (12, 11), (13, 11), (14, 11), (15, 11), (15, 10), (15, 9), (15, 8), (15, 7), (16, 7), (17, 7), (17, 6), (18, 6), (19, 6), (19, 7), (19, 8), (19, 9), (19, 10), (18, 10), (18, 9), (17, 9), (17, 8), (18, 8), (18, 7), (18, 6), (18, 5), (17, 5), (16, 5), (16, 4), (15, 4), (14, 4), (14, 5), (14, 6), (14, 7), (14, 8), (14, 9), (13, 9), (12, 9), (12, 8), (12, 7), (12, 6), (11, 6), (10, 6), (10, 7), (9, 7), (9, 6), (9, 5), (10, 5), (10, 4), (11, 4), (12, 4), (13, 4), (13, 3), (14, 3), (14, 2), (15, 2), (16, 2), (17, 2), (17, 1), (17, 2), (17, 3), (18, 3), (19, 3), (19, 4), (19, 5), (19, 6), (19, 7), (19, 8), (19, 9), (19, 10), (19, 11), (19, 12), (18, 12), (17, 12), (17, 11), (17, 10), (17, 9), (16, 9), (16, 8), (16, 7), (16, 6)]",
8179,PUCT,0.49123533070087433,65,True,,Goal Reached,,"[(0, 0), (0, 1), (1, 1), (1, 2), (2, 2), (3, 2), (3, 3), (4, 3), (5, 3), (5, 4), (6, 4), (7, 4), (8, 4), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (12, 4), (13, 4), (13, 5), (13, 6), (13, 7), (13, 8), (13, 9), (13, 10), (12, 10), (12, 9), (12, 8), (11, 8), (10, 8), (9, 8), (8, 8), (7, 8), (7, 7), (6, 7), (6, 6), (6, 5), (5, 5), (5, 6), (5, 7), (4, 7), (4, 8), (4, 9), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (8, 11), (9, 11), (9, 10), (9, 9), (10, 9), (10, 8), (10, 7), (11, 7), (11, 6), (12, 6), (12, 7), (13, 7), (14, 7), (15, 7), (16, 7), (16, 6)]"
10273,VI,0.020660467445850372,33,True,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (1, 4), (1, 5), (1, 6), (2, 6), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (3, 13), (3, 14), (3, 15), (3, 16), (3, 17), (4, 17), (4, 18), (5, 18), (6, 18), (7, 18), (8, 18), (9, 18), (9, 19), (10, 19), (11, 19), (12, 19), (13, 19)]",Goal Reached,,
10273,VIN,0.00665147602558136,33,True,,Goal Reached,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (1, 4), (1, 5), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14), (5, 15), (6, 15), (7, 15), (7, 16), (7, 17), (7, 18), (8, 18), (9, 18), (9, 19), (10, 19), (11, 19), (12, 19), (13, 19)]",
10273,PUCT,0.4628942310810089,33,True,,Goal Reached,,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (1, 4), (1, 5), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14), (5, 15), (6, 15), (7, 15), (7, 16), (7, 17), (7, 18), (8, 18), (9, 18), (9, 19), (10, 19), (11, 19), (12, 19), (13, 19)]"
12914,VI,0.02217839850860388,148,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (12, 5), (12, 6), (13, 6), (14, 6), (15, 6), (16, 6), (16, 7), (17, 7), (18, 7), (18, 8), (18, 9), (18, 10), (17, 10), (16, 10), (16, 11), (16, 12), (15, 12), (14, 12), (14, 13), (14, 14), (14, 15), (14, 16), (14, 17), (13, 17), (12, 17), (12, 16), (11, 16), (10, 16), (10, 15), (9, 15), (9, 14), (10, 14), (11, 14), (12, 14), (12, 13), (12, 12), (12, 11), (13, 11), (13, 10), (13, 9), (13, 8), (14, 8), (15, 8), (15, 9), (16, 9), (17, 9), (17, 10), (17, 11), (17, 12), (17, 13), (17, 14), (17, 15), (17, 16), (17, 17), (17, 18), (18, 18), (19, 18), (19, 17), (19, 16), (18, 16), (18, 15), (18, 14), (18, 13), (17, 13), (16, 13), (16, 14), (16, 15), (16, 16), (16, 17), (16, 18), (15, 18), (14, 18), (14, 19), (15, 19), (16, 19), (17, 19), (18, 19), (18, 18), (18, 17), (17, 17), (16, 17), (15, 17), (15, 16), (15, 15), (15, 14), (15, 13), (14, 13), (13, 13), (13, 12), (12, 12), (11, 12), (10, 12), (10, 11), (9, 11), (9, 10), (10, 10), (11, 10), (11, 9), (11, 8), (11, 7), (12, 7), (13, 7), (14, 7), (14, 6), (14, 5), (14, 4), (14, 3), (15, 3), (16, 3), (17, 3), (18, 3), (17, 3), (16, 3), (16, 4), (15, 4), (15, 5), (15, 6), (16, 6), (17, 6), (17, 5), (17, 6), (18, 6), (18, 7), (17, 7), (16, 7), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (14, 11)]",Goal Reached,,
12914,VIN,0.006888113021850586,26,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (12, 5), (12, 6), (12, 7), (13, 7), (13, 8), (13, 9), (13, 10), (13, 11), (14, 11)]",
12914,PUCT,0.5095462036132813,26,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (12, 5), (12, 6), (12, 7), (13, 7), (13, 8), (13, 9), (13, 10), (13, 11), (14, 11)]"
15445,VI,0.019007094701131187,31,True,"[(0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (2, 8), (1, 8), (0, 8), (0, 9), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (8, 8), (9, 8), (9, 7), (10, 7), (11, 7), (11, 6), (12, 6)]",Goal Reached,,
15445,VIN,0.00710601011912028,31,True,,Goal Reached,"[(0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (2, 7), (2, 8), (1, 8), (0, 8), (0, 9), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (7, 8), (8, 8), (9, 8), (9, 7), (10, 7), (10, 6), (11, 6), (12, 6)]",
15445,PUCT,0.44373183250427245,31,True,,Goal Reached,,"[(0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (2, 7), (2, 8), (1, 8), (0, 8), (0, 9), (1, 9), (2, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (7, 8), (8, 8), (9, 8), (9, 7), (10, 7), (10, 6), (11, 6), (12, 6)]"
18421,VI,0.021055780473302622,62,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (9, 1), (9, 2), (9, 3), (10, 3), (10, 4), (9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (5, 5), (5, 6), (5, 7), (4, 7), (4, 6), (3, 6), (3, 5), (4, 5), (5, 5), (6, 5), (6, 6), (6, 5), (6, 4), (6, 3), (7, 3), (8, 3), (8, 2), (9, 2), (10, 2), (11, 2), (12, 2), (12, 1), (12, 2), (12, 3), (11, 3), (12, 3), (12, 2), (12, 1), (12, 0), (12, 1), (12, 2), (12, 3), (12, 4), (11, 4), (11, 5), (11, 6), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (6, 7)]",Goal Reached,,
18421,VIN,0.007204570770263672,26,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (9, 1), (9, 2), (9, 3), (10, 3), (10, 4), (9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (6, 4), (5, 4), (5, 5), (5, 6), (6, 6), (6, 7)]",
18421,PUCT,0.4686260509490967,26,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (9, 1), (9, 2), (9, 3), (10, 3), (10, 4), (9, 4), (8, 4), (8, 3), (7, 3), (6, 3), (6, 4), (5, 4), (5, 5), (5, 6), (6, 6), (6, 7)]"
19594,VI,0.016245006644812814,138,True,"[(0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (3, 2), (3, 3), (3, 4), (4, 4), (3, 4), (2, 4), (1, 4), (1, 5), (2, 5), (2, 6), (2, 7), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2), (2, 2), (3, 2), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (7, 0), (6, 0), (6, 1), (6, 2), (6, 3), (5, 3), (5, 4), (5, 3), (5, 2), (4, 2), (4, 1), (4, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (7, 1), (7, 2), (7, 3), (7, 4), (6, 4), (5, 4), (4, 4), (3, 4), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (3, 12), (3, 13), (3, 14), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (10, 16), (11, 16), (11, 15), (12, 15), (13, 15), (14, 15), (14, 16), (14, 17), (14, 18), (15, 18), (15, 17), (15, 16), (15, 15), (15, 14), (15, 13), (15, 12), (14, 12), (13, 12), (12, 12), (11, 12), (11, 11), (11, 10), (11, 9), (11, 8), (12, 8), (13, 8), (14, 8), (14, 7), (14, 6), (14, 5), (15, 5), (16, 5), (15, 5), (14, 5), (13, 5), (13, 6), (13, 7), (12, 7), (11, 7), (10, 7), (10, 8), (10, 9), (11, 9), (12, 9), (13, 9), (13, 10), (13, 11), (13, 12), (13, 13), (13, 14), (12, 14), (11, 14), (10, 14), (9, 14), (8, 14), (8, 15), (8, 16), (8, 17), (9, 17), (10, 17), (10, 18), (10, 19)]",Goal Reached,,
