seed,algorithm,mean_inference_time,total_steps,successful,path,stop_reason,path_vin,path_puct
13117,VI,0.019379615783691406,24,True,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (1, 9), (2, 9), (2, 10), (3, 10), (4, 10), (4, 11), (5, 11), (5, 10), (6, 10), (6, 11), (7, 11), (7, 12), (7, 13), (8, 13)]",Goal Reached,,
13117,VIN,0.008114485513596307,22,True,,Goal Reached,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (2, 9), (2, 10), (3, 10), (4, 10), (4, 11), (4, 12), (4, 13), (5, 13), (6, 13), (7, 13), (8, 13)]",
13117,PUCT,3.7104909079415456,22,True,,Goal Reached,,"[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (2, 9), (2, 10), (3, 10), (4, 10), (4, 11), (4, 12), (4, 13), (5, 13), (6, 13), (7, 13), (8, 13)]"
13177,VI,0.02489810112195137,39,False,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3), (6, 4), (7, 4), (8, 4), (8, 3), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (7, 10), (7, 11), (7, 12), (8, 12), (9, 12), (9, 11), (9, 10), (8, 10), (8, 11), (7, 11), (6, 11), (6, 10), (7, 10), (7, 9), (7, 8), (7, 7), (7, 6), (7, 5)]",Live Lock Detected,,
13177,VIN,0.007274701860215929,46,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3), (6, 4), (7, 4), (8, 4), (8, 3), (8, 2), (9, 2), (9, 3), (9, 4), (9, 5), (8, 5), (8, 6), (8, 7), (8, 8), (8, 9), (8, 10), (8, 11), (8, 12), (7, 12), (7, 11), (7, 10), (8, 10), (9, 10), (9, 11), (9, 12), (9, 13), (10, 13), (11, 13), (12, 13), (13, 13), (14, 13), (14, 14), (14, 15), (15, 15), (16, 15), (17, 15), (17, 16)]",
13177,PUCT,4.03428823682997,46,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3), (6, 4), (7, 4), (8, 4), (8, 3), (8, 2), (9, 2), (9, 3), (9, 4), (9, 5), (8, 5), (8, 6), (8, 7), (8, 8), (8, 9), (8, 10), (8, 11), (8, 12), (7, 12), (7, 11), (7, 10), (8, 10), (9, 10), (9, 11), (9, 12), (9, 13), (10, 13), (11, 13), (12, 13), (13, 13), (14, 13), (14, 14), (14, 15), (15, 15), (16, 15), (17, 15), (17, 16)]"
19520,VI,0.02328727966131166,44,True,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (1, 5), (2, 5), (3, 5), (4, 5), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6), (8, 7), (8, 8), (9, 8), (10, 8), (10, 9), (10, 10), (10, 11), (10, 12), (10, 13), (10, 14), (10, 15), (10, 16), (10, 17), (11, 17), (12, 17), (12, 16), (12, 15), (11, 15), (10, 15), (9, 15), (8, 15), (7, 15), (6, 15), (5, 15), (4, 15), (3, 15), (3, 14), (4, 14), (4, 13)]",Goal Reached,,
19520,VIN,0.006544528184113679,82,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (16, 0), (17, 0), (17, 1), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (18, 6), (18, 7), (17, 7), (17, 6), (17, 5), (17, 4), (17, 3), (18, 3), (19, 3), (19, 2), (19, 3), (19, 4), (19, 5), (19, 6), (19, 7), (19, 8), (18, 8), (17, 8), (16, 8), (15, 8), (14, 8), (14, 9), (14, 10), (14, 11), (13, 11), (13, 12), (13, 13), (13, 14), (13, 15), (12, 15), (11, 15), (10, 15), (10, 16), (10, 17), (11, 17), (12, 17), (12, 16), (11, 16), (11, 15), (11, 14), (11, 13), (11, 12), (10, 12), (10, 11), (10, 10), (10, 9), (10, 8), (9, 8), (8, 8), (8, 9), (8, 10), (7, 10), (6, 10), (5, 10), (5, 11), (5, 12), (5, 13), (4, 13)]",
19520,PUCT,2.992395433378808,82,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (16, 0), (17, 0), (17, 1), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (18, 6), (18, 7), (17, 7), (17, 6), (17, 5), (17, 4), (17, 3), (18, 3), (19, 3), (19, 2), (19, 3), (19, 4), (19, 5), (19, 6), (19, 7), (19, 8), (18, 8), (17, 8), (16, 8), (15, 8), (14, 8), (14, 9), (14, 10), (14, 11), (13, 11), (13, 12), (13, 13), (13, 14), (13, 15), (12, 15), (11, 15), (10, 15), (10, 16), (10, 17), (11, 17), (12, 17), (12, 16), (11, 16), (11, 15), (11, 14), (11, 13), (11, 12), (10, 12), (10, 11), (10, 10), (10, 9), (10, 8), (9, 8), (8, 8), (8, 9), (8, 10), (7, 10), (6, 10), (5, 10), (5, 11), (5, 12), (5, 13), (4, 13)]"
17477,VI,0.025468111038208008,20,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (16, 0), (16, 1), (16, 2), (17, 2)]",Goal Reached,,
