function,found_goal,steps_to_goal,live_lock,seed,infrence_time
Value Iteration,True,33,False,20481,0.0016811688741048176
Neural Network,False,6,True,20481,0.0012959071568080357
Value Iteration,True,14,False,56131,0.0017568724496023996
Neural Network,False,6,True,56131,0.001508542469569615
Value Iteration,True,9,False,21072,0.00168609619140625
Neural Network,False,6,True,21072,0.0015189307076590402
Value Iteration,True,19,False,9863,0.0018855396069978412
Neural Network,False,6,True,9863,0.0014440672738211496
Value Iteration,True,9,False,62837,0.001690228780110677
Neural Network,False,6,True,62837,0.0014200210571289062
Value Iteration,True,17,False,64570,0.0017653914058909698
Neural Network,False,6,True,64570,0.0013071128300258092
Value Iteration,True,14,False,86539,0.0017096144812447684
Neural Network,False,6,True,86539,0.0013475758688790457
Value Iteration,True,17,False,28790,0.0017414513756247127
Neural Network,False,6,True,28790,0.0014234270368303572
Value Iteration,True,0,False,66369,
Neural Network,False,6,True,66369,0.0014182840074811662
Value Iteration,True,13,False,39094,0.0018095236558180589
Neural Network,False,6,True,39094,0.001352276120867048
Value Iteration,True,11,False,73871,0.00162174484946511
Neural Network,False,6,True,73871,0.0013456685202462332
Value Iteration,True,19,False,21493,0.0017995081449809827
Neural Network,False,6,True,21493,0.001339094979422433
Value Iteration,True,30,False,46149,0.0015622297922770181
Neural Network,False,6,True,46149,0.001325709479195731
Value Iteration,True,9,False,58249,0.0016500684950086805
Neural Network,False,6,True,58249,0.0013036046709333146
Value Iteration,True,12,False,61410,0.001547376314798991
Neural Network,False,6,True,61410,0.0013110978262765066
Value Iteration,True,18,False,11956,0.0016315645641750759
Neural Network,False,6,True,11956,0.0013032981327601842
Value Iteration,True,37,False,37921,0.0016638974885682801
Neural Network,False,6,True,37921,0.0013391971588134766
Value Iteration,True,34,False,16735,0.0016656202428481158
Neural Network,False,6,True,16735,0.0013055801391601562
Value Iteration,True,15,False,36845,0.0018110911051432291
Neural Network,False,6,True,36845,0.0014215196881975447
Value Iteration,True,14,False,44593,0.0017149959291730607
Neural Network,False,6,True,44593,0.0013490404401506697
Value Iteration,True,14,False,6663,0.0016800335475376674
Neural Network,False,6,True,6663,0.0013032640729631697
Value Iteration,True,14,False,77614,0.0015939644404820033
Neural Network,False,6,True,77614,0.0013307843889508928
Value Iteration,True,20,False,74263,0.0018343329429626465
Neural Network,False,6,True,74263,0.001280478068760463
Value Iteration,True,16,False,53563,0.0017500519752502441
Neural Network,False,6,True,53563,0.0013336454119001115
Value Iteration,True,12,False,40801,0.0015908877054850261
Neural Network,False,6,True,40801,0.0014350073678152902
Value Iteration,True,16,False,90683,0.0016371309757232666
Neural Network,False,6,True,90683,0.00139617919921875
Value Iteration,True,4,False,76112,0.0014685988426208496
Neural Network,False,6,True,76112,0.0013383797236851283
Value Iteration,True,38,False,43726,0.0016345036657232988
Neural Network,False,6,True,43726,0.0013132776532854354
Value Iteration,True,22,False,49204,0.0015767487612637606
Neural Network,False,6,True,49204,0.0013499600546700613
Value Iteration,True,9,False,80097,0.0016010867224799262
Neural Network,False,6,True,80097,0.0013277190072195871
Value Iteration,True,19,False,54625,0.001511297727885999
Neural Network,False,6,True,54625,0.0013230187552315848
Value Iteration,True,14,False,23808,0.0015878677368164062
Neural Network,False,6,True,23808,0.001333134514944894
