seed,algorithm,mean_inference_time,total_steps,successful,path,stop_reason,path_vin,path_replan
10551,VIN,0.007598684189167429,48,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (10, 5), (10, 6), (11, 6), (11, 7), (11, 8), (12, 8), (13, 8), (13, 7), (13, 6), (13, 5), (12, 5), (12, 6), (12, 7), (12, 8), (12, 9), (11, 9), (11, 10), (11, 11), (10, 11), (10, 12), (10, 13), (10, 14), (10, 15), (10, 16), (10, 17), (10, 18), (10, 19), (9, 19), (8, 19), (7, 19), (7, 18), (8, 18), (9, 18)]",
10551,VIN_REPLAN,0.007189404730703316,51,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (10, 5), (10, 6), (11, 6), (11, 7), (11, 8), (12, 8), (13, 8), (13, 7), (13, 6), (13, 5), (12, 5), (12, 6), (12, 7), (12, 8), (12, 9), (11, 9), (11, 10), (11, 11), (11, 12), (11, 12), (10, 12), (10, 13), (10, 14), (10, 15), (11, 15), (11, 16), (11, 17), (10, 17), (10, 18), (10, 19), (9, 19), (8, 19), (7, 19), (7, 18), (8, 18), (9, 18)]"
17147,VI,0.02437481513390174,157,True,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (1, 12), (1, 13), (1, 14), (1, 15), (1, 16), (1, 17), (1, 18), (1, 19), (2, 19), (3, 19), (4, 19), (5, 19), (6, 19), (7, 19), (8, 19), (9, 19), (9, 18), (10, 18), (10, 17), (11, 17), (11, 16), (11, 15), (12, 15), (12, 14), (11, 14), (10, 14), (10, 13), (11, 13), (12, 13), (13, 13), (13, 14), (13, 15), (14, 15), (14, 16), (15, 16), (15, 15), (16, 15), (17, 15), (18, 15), (18, 16), (19, 16), (19, 15), (19, 14), (19, 13), (18, 13), (18, 12), (18, 11), (18, 10), (18, 9), (18, 8), (17, 8), (17, 9), (16, 9), (16, 10), (16, 11), (16, 12), (17, 12), (17, 13), (16, 13), (15, 13), (14, 13), (14, 12), (14, 11), (14, 10), (14, 9), (14, 8), (15, 8), (16, 8), (16, 7), (17, 7), (16, 7), (15, 7), (14, 7), (13, 7), (13, 8), (13, 9), (13, 10), (13, 11), (13, 12), (12, 12), (12, 13), (12, 14), (12, 15), (12, 16), (13, 16), (13, 17), (14, 17), (15, 17), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (19, 17), (18, 17), (17, 17), (17, 16), (16, 16), (16, 15), (16, 14), (15, 14), (15, 13), (15, 12), (15, 11), (15, 10), (16, 10), (17, 10), (18, 10), (18, 9), (18, 8), (18, 7), (18, 8), (18, 9), (18, 10), (18, 11), (17, 11), (17, 12), (16, 12), (15, 12), (14, 12), (13, 12), (12, 12), (11, 12), (10, 12), (11, 12), (12, 12), (13, 12), (14, 12), (14, 13), (14, 14), (15, 14), (16, 14), (17, 14), (18, 14), (18, 15), (17, 15), (16, 15), (15, 15), (14, 15), (13, 15), (12, 15), (11, 15), (10, 15), (10, 16)]",Goal Reached,,
17147,VIN,0.007474105532576398,165,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (14, 6), (14, 7), (14, 8), (14, 9), (14, 10), (14, 11), (14, 12), (14, 13), (15, 13), (15, 14), (15, 15), (14, 15), (13, 15), (12, 15), (11, 15), (11, 14), (10, 14), (10, 13), (11, 13), (12, 13), (12, 14), (13, 14), (13, 15), (13, 16), (14, 16), (14, 17), (15, 17), (15, 18), (16, 18), (17, 18), (18, 18), (18, 17), (18, 16), (19, 16), (19, 15), (19, 14), (19, 13), (18, 13), (18, 12), (18, 11), (18, 10), (18, 9), (18, 8), (18, 7), (17, 7), (17, 8), (17, 9), (17, 10), (17, 11), (17, 12), (16, 12), (16, 11), (16, 10), (16, 9), (16, 8), (16, 7), (16, 8), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (16, 12), (16, 13), (17, 13), (17, 14), (17, 15), (16, 15), (16, 14), (15, 14), (14, 14), (13, 14), (13, 13), (13, 12), (12, 12), (11, 12), (11, 13), (11, 14), (11, 15), (11, 16), (11, 17), (10, 17), (9, 17), (8, 17), (7, 17), (6, 17), (6, 18), (6, 19), (5, 19), (4, 19), (3, 19), (2, 19), (1, 19), (2, 19), (3, 19), (4, 19), (5, 19), (6, 19), (7, 19), (8, 19), (9, 19), (9, 18), (10, 18), (11, 18), (11, 17), (11, 16), (12, 16), (13, 16), (14, 16), (15, 16), (16, 16), (17, 16), (17, 17), (18, 17), (19, 17), (19, 18), (19, 17), (19, 16), (19, 15), (18, 15), (18, 14), (17, 14), (16, 14), (15, 14), (14, 14), (14, 13), (13, 13), (13, 12), (13, 11), (13, 10), (13, 9), (13, 8), (13, 7), (12, 7), (11, 7), (11, 8), (11, 9), (11, 10), (10, 10), (10, 11), (10, 12), (10, 13), (10, 14), (10, 15), (10, 16)]",
17147,VIN_REPLAN,0.0075686924041263644,126,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (14, 6), (14, 7), (14, 8), (14, 9), (14, 10), (14, 11), (14, 12), (14, 13), (15, 13), (15, 14), (15, 15), (14, 15), (13, 15), (12, 15), (11, 15), (11, 14), (10, 14), (10, 13), (11, 13), (12, 13), (12, 14), (12, 15), (12, 16), (13, 16), (14, 16), (14, 17), (15, 17), (15, 18), (16, 18), (17, 18), (18, 18), (18, 17), (18, 16), (19, 16), (19, 15), (19, 14), (19, 13), (18, 13), (18, 12), (18, 11), (18, 10), (18, 9), (18, 8), (18, 7), (17, 7), (17, 8), (17, 9), (17, 10), (17, 11), (17, 12), (16, 12), (16, 11), (16, 10), (16, 9), (16, 8), (16, 7), (16, 8), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (16, 12), (16, 13), (17, 13), (17, 14), (17, 15), (16, 15), (16, 14), (15, 14), (14, 14), (13, 14), (13, 13), (13, 12), (12, 12), (11, 12), (11, 13), (11, 14), (11, 15), (11, 16), (11, 17), (10, 17), (9, 17), (8, 17), (7, 17), (6, 17), (6, 18), (6, 19), (5, 19), (4, 19), (3, 19), (2, 19), (1, 19), (2, 19), (3, 19), (4, 19), (5, 19), (6, 19), (7, 19), (8, 19), (9, 19), (9, 19), (9, 18), (10, 18), (10, 17), (10, 16)]"
19798,VI,0.013410798708597819,91,True,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (1, 14), (1, 15), (1, 16), (1, 17), (2, 17), (2, 18), (3, 18), (2, 18), (2, 19), (1, 19), (1, 18), (2, 18), (3, 18), (4, 18), (5, 18), (5, 17), (4, 17), (4, 18), (3, 18), (2, 18), (1, 18), (1, 17), (1, 16), (1, 15), (1, 14), (0, 14), (0, 13), (0, 12), (0, 11), (0, 10), (0, 9), (1, 9), (1, 8), (1, 7), (1, 6), (1, 5), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (11, 2), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (12, 8), (12, 9), (12, 10), (11, 10), (10, 10), (10, 11), (9, 11), (8, 11), (8, 12), (8, 13), (7, 13), (7, 14), (6, 14), (6, 15), (7, 15), (8, 15), (8, 14), (8, 13), (8, 12), (8, 11), (8, 10)]",Goal Reached,,
19798,VIN,0.0073849100332993725,53,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (12, 1), (12, 2), (12, 3), (12, 4), (12, 5), (12, 6), (12, 7), (12, 8), (12, 9), (12, 10), (12, 11), (11, 11), (10, 11), (10, 10), (10, 9), (11, 9), (11, 8), (11, 9), (11, 10), (10, 10), (10, 11), (9, 11), (8, 11), (8, 12), (8, 13), (7, 13), (7, 14), (6, 14), (6, 15), (6, 14), (6, 13), (6, 14), (7, 14), (8, 14), (8, 15), (8, 14), (8, 13), (8, 12), (8, 11), (8, 10)]",
19798,VIN_REPLAN,0.01534083154466417,36,False,,No Path Found,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (12, 8), (12, 9), (12, 10), (11, 10), (10, 10), (10, 11), (9, 11), (8, 11), (8, 12), (8, 13), (7, 13), (7, 14), (6, 14), (6, 15), (7, 15), (8, 15)]"
6193,VI,0.020368641073053532,12,True,"[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (2, 7)]",Goal Reached,,
6193,VIN,0.007516015659679066,12,True,,Goal Reached,"[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (2, 3), (2, 4), (3, 4), (3, 5), (3, 6), (3, 7), (2, 7)]",
