seed,algorithm,mean_inference_time,total_steps,successful,path,stop_reason,path_vin,path_puct
12375,VIN,0.007140326499938965,11,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (6, 2)]",
12375,PUCT,0.4137669563293457,11,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (7, 1), (7, 2), (6, 2)]"
6968,VI,0.017273378372192384,26,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (3, 11), (4, 11), (4, 12), (4, 13), (4, 14), (5, 14), (5, 13), (6, 13), (6, 12), (5, 12), (4, 12), (3, 12)]",Goal Reached,,
6968,VIN,0.007790459526909722,28,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (4, 11), (4, 12), (4, 13), (4, 14), (5, 14), (5, 13), (6, 13), (6, 12), (5, 12), (4, 12), (3, 12)]",
6968,PUCT,0.4452809845959699,28,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (4, 11), (4, 12), (4, 13), (4, 14), (5, 14), (5, 13), (6, 13), (6, 12), (5, 12), (4, 12), (3, 12)]"
7973,VI,0.024154177733830044,57,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 1), (7, 1), (7, 2), (6, 2), (6, 3), (6, 4), (7, 4), (8, 4), (9, 4), (9, 5), (9, 6), (10, 6), (10, 7), (11, 7), (11, 8), (12, 8), (12, 9), (12, 10), (12, 11), (13, 11), (14, 11), (14, 10), (15, 10), (15, 9), (15, 8), (14, 8), (14, 7), (13, 7), (13, 8), (13, 9), (13, 10), (13, 11), (13, 12), (12, 12), (11, 12), (11, 11), (10, 11), (10, 10), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4), (10, 4), (10, 3), (9, 3), (8, 3), (8, 2)]",Goal Reached,,
7973,VIN,0.006942339738210042,61,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3), (6, 4), (7, 4), (8, 4), (9, 4), (9, 5), (9, 6), (10, 6), (10, 7), (11, 7), (11, 8), (12, 8), (12, 9), (12, 10), (12, 11), (13, 11), (14, 11), (14, 10), (15, 10), (15, 9), (15, 8), (14, 8), (14, 7), (13, 7), (13, 8), (13, 9), (13, 10), (13, 11), (12, 11), (12, 12), (11, 12), (11, 11), (11, 10), (11, 9), (10, 9), (10, 10), (10, 11), (10, 12), (10, 11), (10, 10), (10, 9), (10, 8), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4), (10, 4), (10, 3), (9, 3), (9, 2), (8, 2)]",
7973,PUCT,0.4384018991674696,57,True,,Goal Reached,,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3), (6, 4), (7, 4), (8, 4), (9, 4), (9, 5), (9, 6), (10, 6), (10, 7), (11, 7), (11, 8), (12, 8), (12, 9), (12, 10), (12, 11), (13, 11), (14, 11), (14, 10), (15, 10), (15, 9), (15, 8), (14, 8), (14, 7), (13, 7), (13, 8), (13, 9), (13, 10), (13, 11), (13, 12), (12, 12), (11, 12), (11, 11), (11, 12), (10, 12), (10, 11), (10, 10), (10, 9), (11, 9), (11, 8), (11, 7), (11, 6), (11, 5), (11, 4), (10, 4), (10, 3), (9, 3), (9, 2), (8, 2)]"
15027,VI,0.02215423033787654,53,True,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (14, 3), (15, 3), (15, 4), (15, 5), (16, 5), (16, 6), (17, 6), (17, 7), (17, 8), (17, 9), (18, 9), (19, 9), (19, 10), (19, 11), (19, 12), (18, 12), (17, 12), (17, 11), (16, 11), (16, 10), (15, 10), (15, 9), (14, 9), (14, 8), (15, 8), (16, 8), (17, 8), (18, 8), (18, 9), (18, 10), (17, 10), (16, 10), (16, 9), (16, 8), (16, 7), (15, 7)]",Goal Reached,,
15027,VIN,0.007156209699038802,117,True,,Goal Reached,"[(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3), (13, 3), (13, 2), (14, 2), (14, 3), (15, 3), (15, 4), (16, 4), (16, 5), (17, 5), (17, 6), (17, 7), (17, 8), (17, 9), (18, 9), (19, 9), (19, 10), (19, 11), (19, 12), (19, 13), (19, 12), (18, 12), (18, 11), (17, 11), (16, 11), (16, 10), (15, 10), (15, 9), (16, 9), (16, 8), (15, 8), (14, 8), (14, 7), (14, 6), (14, 5), (13, 5), (13, 4), (14, 4), (14, 3), (14, 2), (14, 1), (13, 1), (12, 1), (12, 2), (12, 3), (12, 4), (12, 5), (13, 5), (14, 5), (15, 5), (15, 6), (16, 6), (16, 7), (17, 7), (18, 7), (18, 8), (19, 8), (19, 9), (19, 10), (18, 10), (17, 10), (17, 11), (17, 12), (17, 13), (17, 14), (17, 15), (17, 16), (16, 16), (16, 17), (16, 18), (16, 19), (15, 19), (14, 19), (14, 18), (13, 18), (14, 18), (14, 17), (14, 18), (15, 18), (15, 17), (15, 16), (14, 16), (13, 16), (13, 17), (13, 18), (13, 19), (12, 19), (12, 18), (13, 18), (14, 18), (14, 17), (14, 16), (14, 15), (14, 14), (14, 13), (14, 12), (14, 11), (14, 10), (14, 9), (15, 9), (15, 8), (15, 7)]",
